Заявка;Тип заявки BK;Тип заявки HD;Начало;Окончание;Район;Адрес;Подключение;Гигабитное подключение
24076;Локальная заявка;Роутер. Замена техническим специалистом;17.08.2026 12:00;17.08.2026 14:00;Таганский;Город Москва, ул.Новорогожская, д. 10;;Нет
30243;Локальная заявка;TVE/ENT. Замена приставки техником;17.08.2026 18:00;17.08.2026 20:00;Таганский;Город Москва, ул.Нижегородская, д. 25;;Нет
32807;Локальная заявка;Работа с кабелем;17.08.2026 10:00;17.08.2026 12:00;Кузьминки;Город Москва, ул.Окская, д. 6 к 1;;Нет
73572;Локальная заявка;Нет линка;17.08.2026 14:00;17.08.2026 16:00;Кузьминки;Город Москва, пр-кт.Волгоградский, д. 97 к 1;;Нет
41962;Глобальная проблема;Информация;17.08.2026 16:00;17.08.2026 18:00;Выхино;г.Город Москва, б-р.Самаркандский, д. 32к1;;Нет
97886;Глобальная проблема;Информация;17.08.2026 16:00;17.08.2026 18:00;Выхино;г.Город Москва, б-р.Самаркандский, д. 10к2;;Нет
17349;Глобальная проблема;Информация;17.08.2026 14:00;17.08.2026 16:00;Таганский;г.Город Москва, ул.Новорогожская, д. 20;;Нет
54964;Глобальная проблема;Информация;17.08.2026 10:00;17.08.2026 12:00;Выхино;г.Город Москва, ул.Ташкентская, д. 16к2;;Нет
21367;Глобальная проблема;Авария;17.08.2026 20:00;17.08.2026 22:00;Текстильщики;г.Город Москва, ул.Саратовская, д. 16;;Нет
24980;Глобальная проблема;Авария;17.08.2026 10:00;17.08.2026 12:00;Басманный;г.Город Москва, наб.Семеновская, д. 3/1к2;;Нет
15648;Глобальная проблема;Информация;17.08.2026 16:00;17.08.2026 18:00;Басманный;г.Город Москва, наб.Семеновская, д. 2/1;;Нет
57299;Глобальная проблема;Авария;17.08.2026 20:00;17.08.2026 22:00;Кузьминки;г.Город Москва, пр-кт.Волгоградский, д. 128к1;;Нет
;;;;;;;;
;;;;;;;;
Адрес Офиса;г. Москва, ул Юных Ленинцев, д 83с 4;;;;;;;
